Target Domain,Source Domain,GPT3 Completion,Example
beliefs,lovers,"In the sentence above, beliefs are described as something that can seduce someone, similar to how a person can be seduced by a physical person or object. 
Source Domain: seduction",That's a seductive belief.
lust,machine,"In the sentence above, the person being addressed is said to ""turn on"" the speaker. This implies that the person is an object or a switch that the speaker can control, and is used as a metaphor for sexual attraction and arousal.
Source Domain: electricity/switches.",You turn me on.
lust,machine,"In the sentence above, ""turn my crank"" is a metaphorical way of asking for sexual stimulation or arousal. The metaphor uses the image of a hand-cranked machine or toy that needs to be turned in order to work, to describe a person's sexual desire or need for pleasure. 
Source Domain: mechanical device","Turn my crank, baby."
mind,machine,"In the above sentence, the phrase ""screw loose"" is used as a metaphor to denote a mental disorder or eccentricity. Here, the mind is talked about as a machine or mechanical object that can have physical features like screws. 
Source Domain: machine/ mechanical objects.",He has a screw loose.
mind,machine,"In the sentence above, ideas are being described as something that is being produced through a physical process, like churning butter. In other words, the mind is being talked about as a machine that produces ideas. 
Source Domain: machine or factory",He churns out ideas. 
people,machine,"In the sentence above, the term ""breakdown"" refers to the psychological or emotional collapse of a person. Here, a person is conceptualized as a machine or a complex system. In this metaphor, mental or emotional distress is treated as a mechanical failure or malfunction. 
Source Domain: machine/system failure.",He had a breakdown.
people,machine,"In the sentence above, the reader is being told to ""fuel up"" as if they were a machine or a car. The metaphor here is that people are compared to machines that need fuel to function properly.
Source Domain: machines/fuel",Fuel up with a good breakfast.
force,moving object,"In the sentence above, greed is described as a force, emphasizing its power and ability to move, act, and impact the world. The metaphorical use of force highlights the danger and negative consequences associated with greed. 
Source Domain: physical force and movement",Greed is the strongest evil force at work in the world today.
force,moving object,"In the sentence above, force is being described as weaker on the moon. This implies that force is being compared to a physical entity that can vary in strength. 
Source Domain: physical strength.",The force of gravity on the moon is much weaker.
change,motion,"In the sentence above, the person goes through a change from innocent to worldly. This change is being described as a journey from one place to another, which is a literal interpretation of change. 
Source Domain: physical movement or journey",He went from innocent to worldly.
change,motion,"In the sentence above, hair is used as a signifier for change taking place in the person, particularly, aging. Thus, hair is being talked about or symbolized as a physical object that can change color over time.
Source Domain: physical change",His hair went gray.
ideas,motion,"In the sentence above, the idea of a trip to Hawaii is being played with, which implies that ideas are something that you can play with, like toys. 
Source Domain: toys/games.",I'm playing with the idea of a trip to Hawaii.
ideas,motion,"In the sentence above, a person’s mind is compared to a train track that only goes in one direction, suggesting that the person is only able to focus on one topic or idea. 
Source Domain: transportation infrastructure.",She's got a one-track mind
shape,motion,"In the sentence above, the tower is described as leaning, which is a physical action. Thus, it is implying that the tower has a shape that can change. 
Source Domain: physical stability or structure",The tower leans.
shape,motion,"In the sentence above, the shape of the roof is being described. The words ""slopes down"" and ""drops off steeply"" suggest a physical shape that can be visually perceived and measured, similar to how we describe shapes of physical objects in our everyday life.
Source Domain: physical shapes",The roof slopes down before it drops off steeply.
lover,possession,"In the sentence above, love is described as a possession that can be taken away. Thus, the loved one is being treated as a physical object. 
Source Domain: possessions",My friend stole my loved one from me.
lover,possession,"In the sentence above, ""get him back"" implies getting revenge on a former lover, suggesting that love is a war or battle. 
Source Domain: war/battle",I'm going to get him back.
beliefs,possessions,"In the sentence above, beliefs are talked about as something that one can cling to or hold onto, just like a physical object. This implies that beliefs are seen as stable, solid, and unchanging. 
Source Domain: physical grasping or holding onto objects.",She clings to his beliefs.
beliefs,possessions,"In the sentence above, beliefs are being described as toys. Toys are something that one can play with or experiment with, but not necessarily take seriously. Similarly, in the sentence, the speaker is saying that they briefly entertained the idea of a higher power, but didn't fully commit to the belief. 
Source Domain: toys",I briefly toyed with a belief in a higher power.
harm,location,"In the above sentence, trouble is used to convey harm or danger. Thus, trouble is talked about as a harmful situation or an unpleasant experience. 
Source Domain: harm or danger.",I am in trouble.
harm,location,"In the sentence above, the driving is causing harm in the form of pushing the person over the edge. Harm is being caused and thus the target domain of the metaphor is harm. 
Source Domain: physical force or pushing.",They're driving me over the edge.
laughter,substance,"In the above sentence, the lack of jokes is described as not being able to get anything out of someone. This is a clear metaphorical transfer as jokes are not physical objects that can be taken out of someone. 
Source Domain: extraction of physical objects",You can't get a single joke out of him.
laughter,substance,"In the above sentence, laughter is described as something that can rip or tear. This is a physical action usually associated with objects. Thus, laughter is being metaphorically personified and talked about as an object that can be torn. 
Source Domain: tearing/ripping",He was ripping with laughter.
beliefs,support,"In the sentence above, beliefs are described as something that have a foundation, just like a physical structure. Chipping away refers to gradually removing or undermining this foundation, thus weakening the beliefs. 
Source Domain: physical structure or building",He chipped away at the foundation for her beliefs.
beliefs,support,"In the sentence above, ""view"" refers to a person's beliefs or opinions. ""Uphold"" is a word used for supporting or defending beliefs. Therefore, beliefs are being compared to something that can be physically supported or defended. 
Source Domain: support/defense",What view does he uphold?
problem,target,"In the sentence above, the problem is being targeted, which implies hunting or attacking it, like a physical object. This metaphor suggests that the problem is seen as an opponent or enemy that needs to be defeated. 
Source Domain: war or hunting",The mayor targetted the problem of homelessness.
problem,target,"There is no indication of the problem in the sentence above. However, the word ""spearheaded"" is used to describe leading or initiating an action, which is related to the physical action of using a spear to lead or attack. Thus, the source domain could be interpreted as military warfare or hunting.",He spearheaded the investigation.
seeing,touching,"In the sentence above, eyes are used to imply seeing or looking at someone. This suggests that seeing is a physical act that can be controlled like the movement of eyes, and that focus can be retained on one object or person. 
Source Domain: physical control or manipulation.",I couldn't take my eyes off of him.
seeing,touching,"In the sentence above, eyes are mentioned as if they have an independent seeing ability, separate from the person's consciousness and will. Therefore, eyes are compared to an agent that picks out details, like a hand that picks out an object. 
Source Domain: agency",Her eyes picked out a detail in the pattern.
existence,visibility,"In the sentence above, problems are talked about as something that exists and appears. This is a common metaphor used to talk about abstract concepts as if they were physical objects or entities that have a physical presence. 
Source Domain: physical existence.",New problems keep appearing.
existence,visibility,"In the sentence above, controversy is described as something that exists or has a tangible form, and eventually fades away, which implies that it came into being and disappeared. 
Source Domain: physical objects with a lifespan",The controversy eventually faded away.
darkness,solid,"In the sentence above, darkness is described as something that can be felt, like a physical object. This transfers the sense of touch from the physical world to the abstract concept of darkness. 
Source Domain: touch/sensation",The darkness was palpable.
darkness,solid,"In the sentence above, darkness is described as something that can press or exert force on a person. This metaphor suggests that darkness is not just the absence of light but something that can actively affect a person's experience. 
Source Domain: physical pressure.",Darkness pressed in on all sides.
competition,war,"In the above sentence, the debate is described as a competition, and the team is bringing out their best weapons or strategies to win. 
Source Domain: war/weapons.",The debate team brought out their big guns.
competition,war,"In the sentence above, the act of playing chess is used to signify competition. Thus, the game of chess is seen as a battle or a contest. 
Source Domain: battle/contest",They battled each other over the chess board every week.
illness,war,"In the sentence above, the disease is personified as having the ability to infiltrate and take over the body. This metaphor is used to describe how the illness spreads and takes control, just like a person or army infiltrating a territory and taking control. 
Source Domain: invasion/takeover",The disease infiltrates your body and takes over.
illness,war,"In the sentence above, illness is being described as something dirty that needs to be wiped out or removed. The action of wiping out is usually used in a physical sense when referring to cleaning or erasing stains or marks. Therefore, illness is conceptualized as something unwanted that needs to be completely eliminated. 
Source Domain: cleaning/erasing stains",The doctors tried to wipe out the infection.
words,weapons,"In the sentence above, words are described as being sharp. This is a metaphor that describes the effect that words can have on a person, just like a sharp object can cause physical harm. 
Source Domain: sharp objects or tools.",She used some sharp words.
words,weapons,"In the above sentence, insults are being described as something that is thrown or hurled. This suggests that words and language are being talked about as physical objects that can be thrown like projectiles. 
Source Domain: throwing or hurling objects.",He hurled insults at her.
adversity,weather,"In the sentence above, the word ""takeover"" implies that there is some kind of opposition or adversity that needs to be overcome. Thus, the concept of adversity is being used metaphorically to talk about the situation of a business or organization needing to take control. 
Source Domain: adversity/challenge.",The climate is right for a takeover.
adversity,weather,"In the above sentence, the phrase ""rained on my parade"" is used metaphorically to indicate an unfortunate event that ruined someone's plans or celebration, which refers to facing adversity. 
Source Domain: weather/ uncontrollable events",It rained on my parade.
communication,speech,"In the sentence above, the value of a picture is compared to the value of a thousand words, suggesting that a picture is a more effective means of communication than words. 
Source Domain: exchange of valuable goods",A picture is worth a thousand words.
communication,speech,"In the sentence above, the painting is being described as communicating something to the viewer. This implies that paintings, as well as other works of art, have thoughts or messages that they can transmit. 
Source Domain: conversation/verbal communication",What does that painting say to you?
harm,possessions,"In the sentence above, noise is described as something that caused harm, specifically a headache. This is a metaphorical transfer of the physical experience of pain onto a non-physical entity, like noise. 
Source Domain: physical pain/harm",The noise gave him a headache.
harm,possessions,"In the sentence above, health is being talked about as something that can be lost or taken away. The implication is that losing your health is harmful to you.
Source Domain: harm/loss","If you don't have your health, what have you got?"
obligations,possessions,"In the above sentence, work is described as a physical burden that needs to be carried. This means that work-related duties or obligations are conceptualized as a heavy load that one carries on their back. 
Source Domain: physical burden/baggage.",He's carrying a heavy load at work.
obligations,possessions,"In the sentence above, the project is being talked about as a physical object that can be dumped, thus the project is being represented as a burden or obligation that is being transferred from the speaker to another person.
Source Domain: transferring burden or weight.",I dumped that project in his lap.
properties,possessions,"In the sentence above, humor is being described as a property which can be attributed to someone. Just like physical objects can have different properties, such as color or shape, here the abstract entity of humor is being described in a similar way. 
Source Domain: properties of physical objects",She has a nice sense of humor.
properties,possessions,"In the sentence above, red hair is described as a property that can be inherited. Properties are usually used to describe physical objects and characteristics, such as color, shape, or texture. Here, properties are being used to describe the physical characteristic of hair color that can be passed down through generations. 
Source Domain: inheritance of physical properties.",He got his red hair from his mother.
responsibilities,possessions,"In the sentence above, blame is being talked about as something that can be received, just like receiving a physical object. This implies that the responsibility for whatever happened is being transferred to the person who got the blame. 
Source Domain: receiving physical objects",I was the one who got the blame.
responsibilities,possessions,"In the sentence above, charges are being talked about as something that sticks, just like glue or adhesive. Thus, the responsibility is being metaphorically transferred to the charges and making them stick refers to holding someone responsible for their actions.
Source Domain: adhesion",They made the charges stick.
competitors,predators,"In the sentence above, the people who criticized the speaker are being compared to a pack of dingos, thus they are seen as competitors in the argument. 
Source Domain: animals in the wild",I said one thing and they pounced on me like a pack of dingos.
competitors,predators,"In the sentence above, the conference room is compared to a snake pit, which is a place where a lot of venomous and aggressive snakes compete for survival. Thus, the people in the conference room are described as competitors fighting for their own interests. 
Source Domain: competition in the natural world (survival of the fittest)",The conference room is a real snake pit today.
harm,prey,"In the above sentence, the speaker feels vulnerable and in danger, as if they could be harmed by the sharks. This implies that the target domain is harm. The metaphorical transfer comes from the comparison of the speaker's situation to that of a small, helpless fish surrounded by dangerous predators.
Source Domain: predator-prey relationship.",I feel like a little fish surrounded by sharks.
harm,prey,"In the sentence above, the FBI is waiting for their quarry. The word ""quarry"" implies that the subject is being hunted down, and therefore, there is a potential for harm. The metaphorical transfer is from hunting game to hunting people.
Source Domain: hunting.",The FBI lay in wait of their quarry for days.
competition,race,"In the sentence above, arms race refers to a competition between countries to accumulate weapons and military power. The competitive nature of this race attributes the “arms” with qualities of speed, determination, and a will to succeed, just like athletes in a race. 
Source Domain: race/competition",The arms race.
competition,race,"In the sentence above, the two writers are being compared, and the use of the phrase ""widening the distance"" suggests that there is a competition between them. The writers are seen as competing in a race, where the goal is to be the best and leave the other writer behind. 
Source Domain: race/competition","He's a better writer than I am, and he's widening the distance."
conceit,size,"In the above sentence, the person is being described as a stuffed shirt, which means that they are too formal, rigid, and self-important. The physical object, in this case, the stuffed shirt, represents the person's inflated sense of self-importance and conceit.
Source Domain: physical appearance",He's a stuffed shirt.
conceit,size,"In the sentence above, the person in question is becoming grandiose, which means he is starting to think highly of himself. This suggests that the person is being described as an object that is growing or expanding, like a balloon. This connects the target domain of conceit with the source domain of inflation.",He was becoming quite grandiose when I left.
change,replacement,"In the sentence above, the water has undergone a transformation, and now hydrogen and oxygen have replaced it. This indicates a transformation or change in the state of the water. Thus, the concept of change is being talked about here. 
Source Domain: transformation/change.","After the experiment, the water was gone, and hydrogen and oxygen was in its place."
change,replacement,"In the sentence above, the man has changed from someone known to the speaker to an aging fool. Change is being portrayed as something physical, where one entity is replaced by another. 
Source Domain: physical replacement.","The man I had known was gone, and in his place was an aging fool."
time,resource,"In the sentence above, time is described as a physical object that can run out or be used up, like a finite resource. 
Source Domain: a finite resource",We're almost out of time.
time,resource,"In the sentence above, time is being talked about as a resource that one can use. Time is being compared to other physical resources, like money or materials, that one can use or invest for different purposes.
Source Domain: resources",Find a better use for your time.
understanding,seeing,"In the sentence above, understanding is being conceptualized as light. Shedding light means providing clarity and illumination, which is the same function that understanding serves in the context of knowledge. 
Source Domain: light and illumination.",Can you shed more light on this issue? I don't quite see what you are talking about.
understanding,seeing,"In the sentence above, the act of seeing is compared to understanding. What is seen is selective and filtered through personal desires and preferences. Thus, understanding is talked about as a process of selective perception and interpretation.
Source Domain: selective perception",He sees only what he wants to see.
perception,shape,"In the sentence above, figuring someone out refers to understanding them. Understanding someone is described as a process of perception, similar to visual perception of an object in the physical world.
Source Domain: perception",I can't figure him out.
perception,shape,"In the sentence above, the person is being perceived as an image or an object. The verb ""cuts"" is used to describe how the person is presented visually, suggesting that the person is a physical object that can be shaped and manipulated.
Source Domain: shaping objects.",He cuts a splendid figure.
states,shapes,"In the above sentence, ""fitting in"" refers to a state of being accepted and included within a social group or setting. This suggests that social acceptance and belonging can be conceptualized as a physical state of fitting in or not fitting in, like a puzzle piece. 
Source Domain: physical space and objects (puzzle pieces)",He doesn't fit in.
states,shapes,"In the sentence above, punishment and crime are talked about as physical objects that fit together. The concept of fitting here refers to something that we usually use in the physical world, such as clothes or gears. 
Source Domain: physical fitting",He let the punishment fit the crime
thinking,accounting,"In the sentence above, the speaker uses the phrase ""putting two and two together"" to mean making a logical conclusion based on clues or evidence. This implies that thinking is like solving a math problem, where you have to add up pieces of information and come up with an answer. 
Source Domain: arithmetic/mathematics",I can put two and two together.
thinking,accounting,"In the above sentence, account refers to explaining or making sense of something. This is similar to keeping track of finances and balancing them. Therefore, the metaphor is thinking as accounting.
Source Domain: accounting",How do you account for this fact?
problem,location,"In the sentence above, the problem is being talked about as something that can be mapped out, just like a physical territory or a route can be mapped out. 
Source Domain: cartography or mapping",Let's map out the problem before we do anything else.
problem,location,"In the sentence above, the problem is being described as something that can be physically approached in terms of distance and proximity, just like a physical object. This implies that the concept of 'solving a problem' is being structured as 'reaching a destination'. 
Source Domain: physical distance/ proximity",How close are we to finding a solution?
existence,location,"In the above sentence, existence is described as something that can come into being, like a physical object. The metaphorical transfer is from the physical world to the abstract concept of existence. 
Source Domain: creation of physical object.",It came into existence.
existence,location,"In the above sentence, the question is being talked about as something that can arise or not arise. This implies that the question exists in a certain way or manner. 
Source Domain: existence",The question simply doesn't arise here.
meaning,container,"In the sentence above, knowledge is described as something that can be found, like a physical object that was lost and then retrieved. This implies that knowledge has a concrete form and can be obtained through a search.
Source Domain: finding physical objects.",He found the knowledge in a new book.
meaning,container,"In the above sentence, it is being conveyed that Harry does not put a lot of thought into his paragraphs. Thus, meaning is represented as a physical quantity that can be measured and overloaded. 
Source Domain: weight/quantity",Harry does not exactly overload his paragraphs with thought.
sex,competition,"In the sentence above, score refers to a successful sexual encounter, indicating a metaphorical link between sex and sports or games where points are scored. 
Source Domain: sports/games",Did you score last night?
sex,competition,"In the sentence above, surrendering is used to describe the act of giving up control to another person. This is a common metaphor for sex, where one person is said to “give in” or “surrender” their control to their partner.  
Source Domain: power dynamics/control.",She surrendered to him.
body,container,"In the above sentence, body is being used as a container for a person's age or identity. The body is compared to a physical object and age/identity is compared to something that can be trapped or contained within it.
Source Domain: Container/Imprisonment",He's a young man trapped in an old man's body.
body,container,"In the sentence above, a person's personality is described in terms of physical space and body. The exterior is the physical surface of a person's body, while the interior refers to what is inside the body. Thus, the body is used as a metaphor to talk about a person's personality. 
Source Domain: physical space/body.","Once you get past his rude exterior, you'll find a warm and caring person inside."
difficulties,container,"In the sentence above, the speaker refers to a situation as if it were a physical place or space that they got into. This implies that difficulties are spatial containment, and the metaphor being used is difficulties as a container. 
Source Domain: container/space",How did I get myself into this situation?
difficulties,container,"In the sentence above, the situation is being described as a place or space one could be trapped in. Thus, the difficulties are being conceptualized as being physically located in a space.
Source Domain: physical location/space.",How do we get out of this situation?
investment,container,"In the sentence above, putting money in bonds is compared to physically putting something in a safe place. Investment is thus described as protecting something valuable by putting it in a secure place.
Source Domain: securing valuables",Put your money in bonds.
investment,container,"In the sentence, ""bottom dollar"" refers to the last dollar that the speaker has left, implying that the speaker has invested or spent all of their money. Therefore, the sentence contains a metaphorical reference to investment, where money is seen as a resource that can be invested or spent. 
Source Domain: investment",I'm down to my bottom dollar.
obligations,container,"In the sentence above, doing the dishes is described as an obligation that needs to be avoided or escaped. Obligations are conceptualized as physical entities that can be trapped or escaped from. 
Source Domain: trapping and escaping physical entities.",Can you get out of doing the dishes?
obligations,container,"In the above sentence, the word ""trapped"" suggests that the person is obligated to go with him, as if they were physically trapped. Thus, obligations are being discussed as something that restricts physical movement. 
Source Domain: physical restraint.",He trapped her into going with him.
theories,cloth,"Theories are described as something that can be woven, suggesting that they are complex and intricate constructions. 
Source Domain: weaving or constructing",A finely woven theory.
theories,cloth,"In the above sentence, facts are described as naked, which means they are stripped of any interpretation or theory. The use of a physical attribute to describe non-physical entities shows a metaphorical transfer between the concrete and the abstract. 
Source Domain: nudity",Let's look at the naked facts.
time,container,"In the sentence above, time is described as something that can be divided into measurable units, like minutes. 
Source Domain: measurement",He did it in three minutes.
time,container,"In the sentence above, the person is being compared to something from the past, highlighting the fact that time is being talked about metaphorically. Time is usually understood as a linear concept, moving forward, but here it’s being described as a physical object that one can compare and relate to. 
Source Domain: physical distance/comparison.",He's like something out of the last century.
darkness,cover,"In the sentence above, darkness is used in a metaphorical sense to describe the covering or hiding of something. It suggests that darkness can act as a cover or cloak. 
Source Domain: cover/hiding",Under cover of darkness.
darkness,cover,"In the sentence above, darkness is described as something that can close in on us, just like a physical object that can enclose us. Therefore, the darkness is being talked about as if it were a tangible and physical thing that can move and surround us. 
Source Domain: physical enclosure",Darkness closed in over us.
money,liquid,"In the sentence above, money is portrayed as a liquid that can dry up, like water. This comparison suggests that money has a fluid quality and can be easily lost or depleted. 
Source Domain: liquid/fluidity",My money is all dried up.
money,liquid,"In the sentence above, money is being talked about as if it were a liquid, something that can be poured. Thus, the concept of money flow is being described metaphorically through the concept of liquid flow.
Source Domain: liquid flow.",Don't pour your money down the drain.
harm,destruction,"In the sentence above, rebellion is a metaphor for an entity that can be physically crushed, like a object made of a malleable material. Thus, harm is inflicted upon the rebellion. 
Source Domain: physical force/movement.",He crushed the rebellion.
harm,destruction,"In the sentence above, the use of the verb ""wrecked"" indicates that the marriage was damaged or destroyed. Thus, marriage is viewed as a physical object which can be damaged or broken. 
Source Domain: physical objects being harmed or broken",She wrecked our marriage.
strong emotion,blindness,"In the sentence above, love is metaphorically compared to something that can cause blindness, which implies that it is a strong emotion that can impair one's judgment or perception. 
Source Domain: visual impairment/blindness",He was blinded by love.
strong emotion,blindness,"In the sentence above, excitement is described as something that can dazzle, like a bright light. The use of ""dazzled"" suggests that the excitement is so intense that it has a blinding effect on the person experiencing it.
Source Domain: light",They were dazzled with excitement.
active,alive,"In the above sentence, the party is described as if it were a living being. The use of the adjective “alive” suggests that the party was active and dynamic. 
Source Domain: life/ living beings",The party was really alive
active,alive,"In the sentence above, the word ""lively"" is used to describe someone or something that is active and enthusiastic. The verb ""liven"" is used to mean to make something more active or lively. Thus, activity is being abstractly linked to liveliness. 
Source Domain: life or vitality","Lively, liven (lexical examples)"
people,batteries,"In the sentence above, the person is described as being charged up and full of energy, as if they were a battery or an electrical device. This is an attempt to convey a sense of increased physical readiness or alertness. 
Source Domain: electricity/battery",I'm all charged up and full of energy.
people,batteries,"In the sentence above, ""I"" is compared to a car that needs a jump start, which is a physical object that helps to restart a car's battery. Thus, the metaphor implies that people can also need external stimuli or help to start their day or week. 
Source Domain: mechanics of a car",I need a jump start on Monday mornings
