Target Domain,Source Domain,GPT3 Completion,Example
moving,not metaphoric, forward advancement,They saw Daniel advancing.
memories,not metaphoric, physical objects in a space.,There was nothing in his house to remind him of Ecalpemos.
sleep,not metaphoric, physical location/destination,She was almost asleep.
family,not metaphoric, possession/ location,"Adam sat in his parents' house, drinking tea."
newspapers,not metaphoric, not metaphoric,He did not even see an English newspaper.
liking,not metaphoric, sense of taste or preference.,I don't like Miss Fitch.
understanding,not metaphoric, physical location,I don't understand business.
distance,not metaphoric, physical proximity.,They ought to be near him soon.
doors,not metaphoric, access/opportunity,And don't try and get the door open.
scanning ,not metaphoric, not metaphoric,Lawton scanned upwards.
distance,not metaphoric, positivity,The further away the better.
arriving ,not metaphoric, physical movement,Lawton came and crouched down in front of it.
ideas,not metaphoric, inherent properties of physical objects.,I think it 's a good idea.
communication,not metaphoric, silence,Nobody spoke immediately.
results,not metaphoric, physical objects,Output from the system is both tabular and graphical .
paths  ,not metaphoric, physical paths,Chosen routes were those which minimized population rather than distance.
property,not metaphoric, commercial exchange,Are we to sell our cattle or our land? 
